COUNTY,CITY,LAT,LON
BUDAPEST,BUDAPEST,47.4979,19.0402
BÉKÉS,BÉKÉSCSABA,46.6735,21.0877
HAJDÚ-BIHAR,DEBRECEN,47.5333,21.6252
HEVES,EGER,47.9031,20.3731
PEST,ÉRD,47.3919,18.9045
GYŐR-MOSON-SOPRON,GYŐR,47.6875,17.6504
CSONGRÁD-CSANÁD,HÓDMEZŐVÁSÁRHELY,46.4181,20.3300
SOMOGY,KAPOSVÁR,46.3594,17.7968
BORSOD-ABAÚJ-ZEMPLÉN,MISKOLC,48.1035,20.7784
ZALA,NAGYKANIZSA,46.4590,16.9897
SZABOLCS-SZATMÁR-BEREG,NYÍREGYGYHÁZ,47.9495,21.7244
BARANYA,PÉCS,46.0727,18.2323
NÓGRÁD,SALGÓTARJÁN,48.0935,19.8000
GYŐR-MOSON-SOPRON,SOPRON,47.6817,16.5845
CSONGRÁD-CSANÁD,SZEGED,46.2530,20.1414
FEJÉR,SZÉKESFEHÉRVÁR,47.1860,18.4221
JÁSZ-NAGYKUN-SZOLNOK,SZOLNOK,47.1621,20.1825
VAS,SZOMBATHELY,47.2307,16.6218
VESZPRÉM,VESZPRÉM,47.1028,17.9093
KOMÁROM-ESZTERGOM,TATABÁNYA,47.5692,18.4048
ZALA,ZALAEGERSZEG,46.8417,16.8416
TOLNA,SZEKSZÁRD,46.3474,18.7062
BÁCS-KISKUN,KECSKEMÉT,46.8964,19.6897
